Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
KCHE,KCHE,,110,37.043314,1,1,1,0,10.440715,0.094931,0.004431,1,21,115,0.999833,5994,1
KCHEP,KCHEP,,102,52.78733,1,1,1,0,0,0,0.00443,0,45,156,1,5151,0.683108
LSNG,LSNG,,0,0,0,0,0,0,0,0,0.000666,75,77,158,0,0,0
LSNGP,LSNGP,,110,3.773948,1,1,1,0,0.094931,0.094931,0.004431,1,21,111,0.999833,5994,1
MAGE,MAGE,,110,16.409961,1,1,1,0,10.440715,0.094931,0.004431,1,21,97,0.999833,5994,1
MAGEP,MAGEP,,110,8.525681,1,1,1,0,0.094931,0.094931,0.004431,1,21,107,0.999833,5994,1
SAGO,SAGO,,102,55.599089,1,1,1,0,0,0,0.00443,0,45,94,1,5151,0.683108
SAGOP,SAGOP,,102,44.009709,1,1,1,0,0,0,0.00443,0,45,0,1,5151,0.683108
SLEN,SLEN,,102,55.498976,1,1,1,0,0,0,0.00443,0,45,153,1,5151,0.683108
KUBE,KUBE,,110,12.056745,1,1,1,0,0.094931,0.094931,0.004431,1,21,96,0.999833,5994,1
FXTB,FXTB,,0,0,0,0,0,0,0,0,0.000666,76,78,162,0,0,0
FXUS,FXUS,,0,0,0,0,0,0,0,0,0.000666,77,79,163,0,0,0
FXMM,FXMM,,0,0,0,0,0,0,0,0,0.000666,78,80,164,0,0,0
FXRL,FXRL,,0,0,0,0,0,0,0,0,0.000666,79,81,165,0,0,0
PRMB,PRMB,,102,35.112752,1,1,1,0,0,0,0.00443,0,45,161,1,5151,0.683108
KMEZ,KMEZ,,110,29.050447,1,1,1,0,10.440715,0.094931,0.004431,1,21,159,0.999833,5994,1
IRKT,IRKT,,102,26.594237,1,1,1,0,0,0,0.00443,0,45,34,1,5151,0.683108
